Var1,Metadata_moa.x
BRD-K41406082,paba antagonist
BRD-K41707108,phosphoenolpyruvate carboxylase activator
BRD-K41713976,potassium channel blocker
BRD-K41876534,carbonic anhydrase inhibitor
BRD-K41996876,egfr inhibitor
BRD-K42095107,estrogen receptor agonist
BRD-K42142750,antimitotic
BRD-K42221274,gat inhibitor
BRD-K42348709,adrenergic receptor agonist|serotonin receptor agonist
BRD-K42352790,cannabinoid receptor agonist
BRD-K42596464,antitussive
BRD-K42635745,adrenergic receptor antagonist
BRD-K43149758,androgen receptor agonist|cytochrome p450 inhibitor
BRD-K43245338,calpain inhibitor|cathepsin inhibitor
BRD-K43290182,serotonin receptor antagonist
BRD-K43389675,rna synthesis inhibitor|topoisomerase inhibitor
BRD-K43736954,glucocorticoid receptor agonist
BRD-K43797669,tyrosine kinase inhibitor
BRD-K43860855,antineoplastic
BRD-K43966364,bacterial cell wall synthesis inhibitor
BRD-K44067360,chloride channel blocker
BRD-K44273375,fungal squalene epoxidase inhibitor
BRD-K44849676,trpv agonist
BRD-K44876623,benzodiazepine receptor agonist
BRD-K44899736,monoamine oxidase inhibitor
BRD-K45033733,dna polymerase inhibitor
BRD-K45071273,membrane integrity inhibitor
BRD-K45158365,angiotensin receptor antagonist
BRD-K45401373,apoptosis stimulant
BRD-K45435259,dopamine receptor antagonist
BRD-K45479396,serotonin receptor agonist
BRD-K45542189,lipoxygenase inhibitor
BRD-K45662124,dopamine receptor ligand
BRD-K45861246,dopamine receptor antagonist
BRD-K46018455,ppar receptor agonist
BRD-K46068882,bacterial quorum sensing inhibitor
BRD-K46137903,phospholipase activator
BRD-K46211610,adrenergic receptor antagonist
BRD-K46317332,nitric oxide synthase inhibitor
BRD-K46435977,dna polymerase inhibitor
BRD-K46441700,serotonin receptor antagonist
BRD-K46556543,mineralocorticoid receptor antagonist
BRD-K46937689,cyclooxygenase inhibitor
BRD-K46982791,potassium channel activator
BRD-K47105409,jak inhibitor
BRD-K47192521,platelet aggregation inhibitor
BRD-K47278471,histamine receptor antagonist
BRD-K47323024,histamine receptor antagonist
BRD-K47328134,heparin activation inhibitor
BRD-K47598052,src inhibitor
BRD-K47608922,chelating
BRD-K47631482,mucolytic
BRD-K47635719,glucocorticoid receptor agonist
BRD-K47639036,acetylcholine receptor antagonist
BRD-K47693913,furoquinoline alkaloid
BRD-K47869605,microtubule inhibitor|tubulin polymerization inhibitor
BRD-K47936004,dopamine receptor agonist
BRD-K48168960,thyroid peroxidase inhibitor
BRD-K48722258,adenosine reuptake inhibitor
BRD-K49061529,gaba benzodiazepine site receptor inverse agonist
BRD-K49071277,gaba receptor antagonist|tp53 activator
BRD-K49481516,acetylcholinesterase inhibitor
BRD-K49671696,serotonin receptor antagonist
BRD-K49685476,retinoid receptor agonist
BRD-K49807096,angiotensin converting enzyme inhibitor
BRD-K50133271,cyclooxygenase inhibitor|prostanoid receptor antagonist
BRD-K50135270,dopamine uptake inhibitor
BRD-K50214219,parp inhibitor
BRD-K50388907,ppar receptor agonist
BRD-K50398167,cyclooxygenase inhibitor|prostanoid receptor antagonist
BRD-K50406511,rna synthesis inhibitor
BRD-K50417881,dopamine receptor antagonist
BRD-K50422030,gaba receptor antagonist|gaba receptor modulator
BRD-K50859149,bacterial antifolate
BRD-K50891186,dopamine receptor antagonist
BRD-K50938287,serotonin receptor agonist
BRD-K51318897,tubulin polymerization inhibitor
BRD-K51465424,adrenergic receptor agonist
BRD-K51671335,dopamine receptor antagonist
BRD-K51751936,benzodiazepine receptor agonist
BRD-K52075040,fatty acid synthase inhibitor
BRD-K52075715,tubulin inhibitor
BRD-K52397688,dopamine receptor antagonist|faah inhibitor|serotonin receptor antagonist
BRD-K52662033,histamine receptor agonist
BRD-K52721684,potassium channel activator
BRD-K52989797,serotonin transporter (sert) inhibitor
BRD-K53061490,thromboxane synthase inhibitor
BRD-K53123955,phosphofructokinase inhibitor
BRD-K53318339,phosphodiesterase inhibitor|sodium channel blocker
BRD-K53517854,selective serotonin reuptake inhibitor (ssri)
BRD-K53737926,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor
BRD-K53857191,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K54094468,dopamine receptor antagonist
BRD-K54142781,adrenergic receptor agonist
BRD-K54210043,calcium channel activator|large conductance potassium channel activator
BRD-K54330070,p38 mapk inhibitor
BRD-K54411430,camp inhibitor
BRD-K54529596,angiotensin converting enzyme inhibitor
BRD-K54759182,norepinephrine reuptake inhibitor|serotonin reuptake inhibitor|tricyclic antidepressant
BRD-K54771420,cholesterol inhibitor
BRD-K54790157,dna synthesis inhibitor
BRD-K55034111,bacterial dna gyrase inhibitor
BRD-K55044200,penicillin binding protein inhibitor
BRD-K55127134,dopamine receptor antagonist
BRD-K55191674,penicillin binding protein inhibitor
BRD-K55250441,dihydropteroate synthase inhibitor
BRD-K55424922,serotonin receptor agonist
BRD-K55468218,dopamine receptor antagonist
BRD-K55529781,thromboxane synthase inhibitor
BRD-K55567017,alcohol dehydrogenase inhibitor
BRD-K55930204,hydantoin antiepileptic
BRD-K56104152,bacterial cell wall synthesis inhibitor
BRD-K56558538,sodium channel blocker
BRD-K56596464,sodium channel blocker
BRD-K56699285,dopamine receptor agonist|serotonin receptor antagonist
BRD-K56800335,adrenergic receptor agonist
BRD-K57033106,histamine receptor antagonist
BRD-K57432881,dopamine receptor antagonist
BRD-K57546357,breast cancer resistance protein inhibitor
BRD-K57569181,phosphodiesterase inhibitor
BRD-K57886322,glucocorticoid receptor agonist
BRD-K58220566,pkc inhibitor|sodium channel blocker|calcium channel blocker
BRD-K58265391,diuretic
BRD-K58466253,serotonin release inhibitor
BRD-K58685305,11-beta hydroxysteroid dehydrogenase inhibitor
BRD-K58736316,fatty acid synthase inhibitor
BRD-K58930050,glutamate receptor antagonist
BRD-K58938839,smoothened receptor antagonist|hedgehog pathway inhibitor
BRD-K59058766,dopamine receptor antagonist
BRD-K59197931,cyclooxygenase inhibitor
BRD-K59256312,serine protease inhibitor
BRD-K59273480,adenosine reuptake inhibitor|phosphodiesterase inhibitor
BRD-K59284035,egfr inhibitor
BRD-K59469039,angiogenesis inhibitor
BRD-K59574735,leukotriene synthesis inhibitor
BRD-K59753853,glutamate receptor antagonist
BRD-K59851896,gaba release inhibitor
BRD-K59983611,bacterial antifolate
BRD-K60025295,antibiotic
BRD-K60038276,angiotensin receptor antagonist
BRD-K60174629,prolyl endopeptidase inhibitor
BRD-K60184833,tyrosine kinase inhibitor
BRD-K60640630,glucocorticoid receptor agonist
BRD-K60770992,dopamine receptor agonist
BRD-K60923938,sodium channel activator
BRD-K60932973,dopamine receptor agonist
BRD-K61250553,opioid receptor agonist
BRD-K61269089,protein kinase inhibitor
BRD-K61271364,gaba receptor antagonist
BRD-K61443650,antibiotic
BRD-K61496577,glucocorticoid receptor agonist
BRD-K61951118,gaba benzodiazepine site receptor inverse agonist
BRD-K62008436,tubulin polymerization inhibitor
BRD-K62310379,glucocorticoid receptor agonist
BRD-K62363391,bacterial antifolate
BRD-K62456038,dopamine receptor agonist
BRD-K62607865,bacterial cell wall synthesis inhibitor
BRD-K62609077,adrenergic receptor antagonist|gaba receptor antagonist|serotonin receptor antagonist
BRD-K62929068,purinergic receptor activator
BRD-K62996583,calcium channel blocker
BRD-K63089472,inhibitor of methyl esterification of farnesylated proteins
BRD-K63165456,adrenergic receptor agonist
BRD-K63430059,dna synthesis inhibitor
BRD-K63630713,sodium/potassium/chloride transporter inhibitor
BRD-K63750851,dehydrogenase inhibitor|inositol monophosphatase inhibitor
BRD-K63861289,guanylyl cyclase activator
BRD-K64044582,acat inhibitor
BRD-K64746805,phosphodiesterase inhibitor
BRD-K64862097,glucocorticoid receptor agonist
BRD-K64994968,progesterone receptor agonist
BRD-K65417056,local anesthetic
BRD-K65639003,phosphodiesterase inhibitor
BRD-K65667145,cell division inducer
BRD-K65814004,nitric oxide synthase inhibitor|aldehyde dehydrogenase inhibitor|cytochrome p450 inhibitor|nadph oxidase inhibitor|xanthine oxidase inhibitor
BRD-K66206289,acetylcholine receptor antagonist
BRD-K66353228,myorelaxant
BRD-K66404838,opioid receptor agonist|opioid receptor antagonist
BRD-K66808046,chelating
BRD-K66874953,tp53 inhibitor
BRD-K67100011,bacterial cell wall synthesis inhibitor
BRD-K67102207,hdac inhibitor
BRD-K67217586,cholinesterase inhibitor
BRD-K67277431,thromboxane receptor antagonist|thromboxane synthase inhibitor
BRD-K67298865,tgf beta receptor inhibitor
BRD-K67783091,dopamine receptor antagonist
BRD-K67966701,angiotensin converting enzyme inhibitor
BRD-K68332390,aldose reductase inhibitor|reductase inhibitor
BRD-K68336408,egfr inhibitor
BRD-K68402494,myosin light chain kinase inhibitor
BRD-K68553471,antihypertensive
BRD-K68558722,cyclooxygenase inhibitor
BRD-K68620903,progesterone receptor agonist
BRD-K69195780,serotonin receptor agonist
BRD-K70246307,vitamin b
BRD-K70281171,dopamine receptor antagonist
BRD-K70301876,selective serotonin reuptake inhibitor (ssri)
BRD-K70487031,dopamine receptor antagonist
BRD-K70778732,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor
BRD-K70881766,acetylcholinesterase inhibitor
BRD-K71133585,vitamin k antagonist
BRD-K71726959,cdk inhibitor
BRD-K71799778,cdk inhibitor
BRD-K71799949,carboxamide antiepileptic
BRD-K72034655,apoptosis inducer|antileukemic
BRD-K72166146,serotonin receptor agonist
BRD-K72259270,sodium channel blocker
BRD-K72903603,reverse transcriptase inhibitor
BRD-K73107279,acetylcholine receptor agonist
BRD-K73109821,potassium channel activator
BRD-K73391359,local anesthetic
BRD-K73589401,mineralocorticoid receptor agonist
BRD-K73642618,dopamine receptor antagonist
BRD-K73789395,raf inhibitor
BRD-K73999723,angiotensin receptor antagonist
BRD-K74141488,fungal squalene epoxidase inhibitor
BRD-K74148702,cyclooxygenase inhibitor
BRD-K74212935,dopamine agonist
BRD-K74765201,leukotriene receptor antagonist
BRD-K74913225,carbonic anhydrase inhibitor
BRD-K75089421,sodium channel blocker
BRD-K75181824,inhibitor of methyl esterification of geranylgeranylated proteins
BRD-K75615183,adrenergic receptor agonist
BRD-K75641298,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K75844781,serotonin receptor agonist
BRD-K75958195,serotonin receptor antagonist
BRD-K76022557,dopamine receptor agonist
BRD-K76064317,flt3 inhibitor
BRD-K76205745,angiotensin receptor antagonist
BRD-K76274772,ceramidase inhibitor
BRD-K76304753,local anesthetic
BRD-K76723084,retinoid receptor agonist
BRD-K76805682,glycogen synthase kinase inhibitor
BRD-K76810206,adrenergic receptor antagonist
BRD-K76812510,cyclooxygenase inhibitor|opioid receptor agonist
BRD-K76927775,dna inhibitor
BRD-K77554836,glucocorticoid receptor agonist
BRD-K77641333,adrenergic receptor agonist
BRD-K77695569,angiogenesis inhibitor
BRD-K77771411,imidazoline receptor agonist
BRD-K77925998,serotonin receptor agonist
BRD-K77947974,dopamine receptor antagonist
BRD-K77987382,acetylcholinesterase inhibitor|microtubule inhibitor|tubulin inhibitor
BRD-K78010432,diuretic
BRD-K78113049,topoisomerase inhibitor
BRD-K78280988,cannabinoid receptor agonist|potassium channel blocker|trpv agonist
BRD-K78294846,calcium channel blocker
BRD-K78364995,bacterial cell wall synthesis inhibitor
BRD-K78599730,farnesyltransferase inhibitor|nfkb pathway inhibitor|ras farnesyltransferase inhibitor
BRD-K78643075,dopamine receptor antagonist
BRD-K78692225,dihydroorotate dehydrogenase inhibitor|pdgfr tyrosine kinase receptor inhibitor
BRD-K78815826,cyclooxygenase inhibitor
BRD-K78838262,hypolipidemic
BRD-K78959463,calcium channel activator
BRD-K79092138,poxb inhibitor|bacterial dna inhibitor
BRD-K79131256,tubulin polymerization inhibitor
BRD-K79425933,dopamine receptor antagonist
BRD-K79437791,inhibitor of methylation of endogenous isoprenylated proteins
BRD-K79501723,histamine receptor modulator
BRD-K79711234,bacterial 50s ribosomal subunit inhibitor
BRD-K79759585,phosphodiesterase inhibitor
BRD-K80334323,progestogen hormone
BRD-K80348542,protein synthesis inhibitor
BRD-K80353807,vasodilator
BRD-K80396088,sulfonylurea
BRD-K80738081,cytochrome p450 inhibitor|sirt activator
BRD-K80946661,p53 activator
BRD-K81029756,l-type calcium channel blocker|calcium channel antagonist|calcium channel blocker
BRD-K81144366,adrenergic receptor antagonist
BRD-K81272440,calcium channel blocker
BRD-K81473089,acetylcholinesterase inhibitor
BRD-K81709173,glucocorticoid receptor agonist
BRD-K81839095,estrogen receptor agonist
BRD-K82103381,vasodilator
BRD-K82236179,nadph inhibitor
BRD-K82255054,gaba receptor agonist
BRD-K82561139,casein kinase inhibitor
BRD-K82562631,cyclooxygenase inhibitor
BRD-K82577285,dopamine receptor agonist
BRD-K82795137,histamine receptor antagonist
BRD-K82846253,insulin secretagogue
BRD-K82865713,camp inhibitor
BRD-K83459933,angiogenesis inhibitor
BRD-K83597974,monoamine oxidase inhibitor
BRD-K84175871,adrenergic receptor agonist
BRD-K84421793,dopamine receptor agonist
BRD-K84595254,atpase inhibitor
BRD-K84663978,phosphodiesterase inhibitor|platelet aggregation inhibitor|potassium channel blocker
BRD-K85090592,acetylcholine receptor agonist
BRD-K85119730,atp channel blocker
BRD-K85242180,"indoleamine 2,3-dioxygenase inhibitor"
BRD-K85307935,bacterial dna gyrase inhibitor
BRD-K85383046,chloride channel blocker
BRD-K85883481,glucocorticoid receptor agonist
BRD-K85985071,topoisomerase inhibitor
BRD-K86204871,sterol demethylase inhibitor
BRD-K86434416,monoamine oxidase inhibitor
BRD-K86873305,bacterial cell wall synthesis inhibitor
BRD-K86882815,dopamine receptor agonist|prolactin inhibitor|prolactin secretion inhibitor
BRD-K87024524,monoamine oxidase inhibitor
BRD-K87049188,chelating|dopamine beta hydroxylase inhibitor
BRD-K87156652,antithyroid
BRD-K87827419,dna alkylating|dna inhibitor
BRD-K87990216,glucocorticoid receptor agonist
BRD-K87991767,carbonic anhydrase inhibitor|cyclooxygenase inhibitor
BRD-K88090157,antihistamine
BRD-K88282786,cannabinoid receptor agonist
BRD-K88366685,3-ketoacyl coa thiolase inhibitor
BRD-K88405679,antihistamine
BRD-K88429204,dihydrofolate reductase inhibitor
BRD-K88568253,monoamine oxidase inhibitor
BRD-K88611939,glutamate receptor agonist
BRD-K88743730,serotonin receptor partial agonist
BRD-K88789588,aromatase inhibitor
BRD-K88809146,monoamine oxidase inhibitor
BRD-K88849294,tyrosine phosphatase inhibitor
BRD-K88871508,dopamine receptor agonist
BRD-K89046952,bacterial cell wall synthesis inhibitor
BRD-K89055274,muscle relaxant
BRD-K89125793,antiprotozoal
BRD-K89210380,vitamin b
BRD-K89272762,chloride channel blocker
BRD-K89375097,acetylcholine receptor antagonist
BRD-K89704198,adrenergic receptor antagonist
BRD-K89732114,dopamine receptor antagonist
BRD-K90027355,mineralocorticoid receptor antagonist
BRD-K90333595,adrenergic receptor antagonist
BRD-K90524085,phosphodiesterase inhibitor|platelet aggregation inhibitor
BRD-K90733503,bacterial cell wall synthesis inhibitor
BRD-K90976994,bile acid
BRD-K91263825,tricyclic antidepressant
BRD-K91301684,bradykinin receptor antagonist|tubulin inhibitor
BRD-K91315211,histamine receptor agonist|histamine receptor antagonist
BRD-K91336023,dopamine receptor agonist
BRD-K91370081,dna synthesis inhibitor
BRD-K92000912,cannabinoid receptor antagonist
BRD-K92049597,sodium channel blocker
BRD-K92123432,cyclooxygenase inhibitor
BRD-K92588747,dopamine receptor antagonist
BRD-K92678294,isoflavone
BRD-K92731339,angiotensin converting enzyme inhibitor
BRD-K92758126,nfkb pathway inhibitor
BRD-K92778217,cyclooxygenase inhibitor
BRD-K93080877,tripeptidyl peptidase inhibitor
BRD-K93201660,myosin light chain kinase inhibitor
BRD-K93258693,ppar receptor antagonist
BRD-K93280214,gaba receptor antagonist
BRD-K93332168,monoamine oxidase inhibitor
BRD-K93441486,acetylcholine receptor antagonist
BRD-K93461745,serotonin receptor agonist
BRD-K93568044,glucocorticoid receptor agonist
BRD-K93754473,estrogen receptor antagonist|selective estrogen receptor modulator (serm)
BRD-K94144010,nicotine metabolite
BRD-K94325918,apoptosis stimulant
BRD-K94379058,cannabinoid receptor inverse agonist
BRD-K94512704,dopamine receptor antagonist
BRD-K94689771,cytochrome p450 inhibitor
BRD-K94841585,laxative|free radical generator
BRD-K94887716,serotonin receptor agonist
BRD-K95237249,uricosuric blocker
BRD-K95309561,estrogen receptor agonist
BRD-K95603879,atpase inhibitor
BRD-K95763993,pdgfr tyrosine kinase receptor inhibitor
BRD-K96144918,kpl-1 tumor suppressor
BRD-K96670504,glucokinase inhibitor
BRD-K97061094,histamine receptor antagonist
BRD-K97158071,dopamine receptor antagonist
BRD-K97181089,sodium channel blocker
BRD-K97309399,dopamine receptor antagonist
BRD-K97399794,polar auxin transport inhibitor
BRD-K97440753,adrenergic receptor antagonist|prolactin inhibitor
BRD-K97521363,glycolysis inhibitor
BRD-K97530723,melatonin receptor agonist|nitric oxide synthase inhibitor
BRD-K97564742,histamine receptor antagonist
BRD-K97688263,sodium channel blocker
BRD-K97746869,atp channel blocker
BRD-K97799481,adenosine receptor antagonist
BRD-K98039984,glucocorticoid receptor agonist
BRD-K98174813,bacterial 30s ribosomal subunit inhibitor
BRD-K98530306,adrenergic receptor agonist
BRD-K98763141,cyclooxygenase inhibitor
BRD-K98769987,benzodiazepine receptor antagonist
BRD-K99029477,photosynthesis inhibitor
BRD-K99107520,glutamate receptor antagonist
BRD-K99121711,sodium channel blocker
BRD-K99411983,"colchicine isomer, non-binder of microtubules"
BRD-K99586414,bacterial cell wall synthesis inhibitor
BRD-K99792991,potassium channel activator
BRD-K99946902,local anesthetic
