well_position	gene_name	pert_name	broad_sample	cell_line	ASSAY_WELL_ROLE	GeneID	plate_map_name
k10	IKBKE	IKBKE_WT.2	ccsbBroad304_14943	U2OS	Treated	9641	TAORF_REFERENCE_SET
k11	CCND1	CCND1_WT.2	ccsbBroad304_05880	U2OS	Treated	595	TAORF_REFERENCE_SET
k12	AKT3	AKT3_WT.3	ccsbBroad304_14950	U2OS	Treated	10000	TAORF_REFERENCE_SET
k13	CRY1	CRY1_WT.2	ccsbBroad304_06040	U2OS	Treated	1407	TAORF_REFERENCE_SET
k14	LRPPRC	LRPPRC_WT	ccsbBroad304_14956	U2OS	Treated	10128	TAORF_REFERENCE_SET
k15	DDIT3	DDIT3_WT.2	ccsbBroad304_06089	U2OS	Treated	1649	TAORF_REFERENCE_SET
k16	MAP3K2	MAP3K2_WT.2	ccsbBroad304_14974	U2OS	Treated	10746	TAORF_REFERENCE_SET
k17	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
k18	SGK3	SGK3_WT.2	ccsbBroad304_15022	U2OS	Treated	23678	TAORF_REFERENCE_SET
k19	DVL3	DVL3_WT	ccsbBroad304_06132	U2OS	Treated	1857	TAORF_REFERENCE_SET
k20	TBK1	TBK1_WT.2	ccsbBroad304_15050	U2OS	Treated	29110	TAORF_REFERENCE_SET
k21	EIF4E	EIF4E_WT.2	ccsbBroad304_06150	U2OS	Treated	1977	TAORF_REFERENCE_SET
k22	XBP1	XBP1_WT.2	BRDN0000464877	U2OS	Treated	7494	TAORF_REFERENCE_SET
k23	HIF1A	HIF1A_WT.2	ccsbBroad304_06365	U2OS	Treated	3091	TAORF_REFERENCE_SET
k24	XBP1	XBP1_WT.3	BRDN0000464878	U2OS	Treated	7494	TAORF_REFERENCE_SET
l01	TSC1	TSC1_WT.1	BRDN0000464949	U2OS	Treated	7248	TAORF_REFERENCE_SET
l02	CARD11	CARD11_WT	ccsbBroad304_15196	U2OS	Treated	84433	TAORF_REFERENCE_SET
l03	TSC1	TSC1_WT.2	BRDN0000464950	U2OS	Treated	7248	TAORF_REFERENCE_SET
l04	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
l05	TRAF6	TRAF6_WT.1	BRDN0000464951	U2OS	Treated	7189	TAORF_REFERENCE_SET
l06	PKIA	PKIA_WT	BRDN0000464858	U2OS	Treated	5569	TAORF_REFERENCE_SET
l07	TRAF6	TRAF6_WT.2	BRDN0000464952	U2OS	Treated	7189	TAORF_REFERENCE_SET
l08	PRKACG	PRKACG_WT.3	BRDN0000464859	U2OS	Treated	5568	TAORF_REFERENCE_SET
l09	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
l10	PER1	PER1_WT.2	BRDN0000464860	U2OS	Treated	5187	TAORF_REFERENCE_SET
l11	BRAF	BRAF_WT.1	BRDN0000464953	U2OS	Treated	673	TAORF_REFERENCE_SET
l12	ATF6	ATF6_WT.2	BRDN0000464861	U2OS	Treated	22926	TAORF_REFERENCE_SET
l13	BRAF	BRAF_WT.2	BRDN0000464954	U2OS	Treated	673	TAORF_REFERENCE_SET
l14	AKT1S1	AKT1S1_WT.1	BRDN0000464862	U2OS	Treated	84335	TAORF_REFERENCE_SET
l15	NOTCH1	NOTCH1_WT.1	BRDN0000464955	U2OS	Treated	4851	TAORF_REFERENCE_SET
l16	AKT1S1	AKT1S1_WT.2	BRDN0000464863	U2OS	Treated	84335	TAORF_REFERENCE_SET
l17	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
l18	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
l19	NOTCH1	NOTCH1_WT.2	BRDN0000464956	U2OS	Treated	4851	TAORF_REFERENCE_SET
l20	IRGM	IRGM_WT.2	BRDN0000464864	U2OS	Treated	345611	TAORF_REFERENCE_SET
l21	SLIRP	SLIRP_WT.1	ccsbBroad304_09091	U2OS	Treated	81892	TAORF_REFERENCE_SET
l22	RBPJ	RBPJ_WT.2	BRDN0000464865	U2OS	Treated	3516	TAORF_REFERENCE_SET
l23	SLIRP	SLIRP_WT.2	BRDN0000464957	U2OS	Treated	81892	TAORF_REFERENCE_SET
l24	DLL1	DLL1_WT	BRDN0000464866	U2OS	Treated	28514	TAORF_REFERENCE_SET
m01	HSP90AA1	HSP90AA1_WT	ccsbBroad304_06413	U2OS	Treated	3320	TAORF_REFERENCE_SET
m02	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
m03	SMAD3	SMAD3_WT.1	ccsbBroad304_06549	U2OS	Treated	4088	TAORF_REFERENCE_SET
m04	PRKACA	PRKACA_WT.2	BRDN0000464879	U2OS	Treated	5566	TAORF_REFERENCE_SET
m05	NFKB1	NFKB1_WT.2	ccsbBroad304_06637	U2OS	Treated	4790	TAORF_REFERENCE_SET
m06	PIK3CA	PIK3CA_WT.2	BRDN0000464880	U2OS	Treated	5290	TAORF_REFERENCE_SET
m07	FURIN	FURIN_WT.2	ccsbBroad304_06683	U2OS	Treated	5045	TAORF_REFERENCE_SET
m08	CHUK	CHUK_WT.1.mismatch	BRDN0000464881	U2OS	Treated	1147	TAORF_REFERENCE_SET
m09	PIK3R1	PIK3R1_WT.2	ccsbBroad304_06728	U2OS	Treated	5295	TAORF_REFERENCE_SET
m10	MAP3K9	MAP3K9_WT	BRDN0000464882	U2OS	Treated	4293	TAORF_REFERENCE_SET
m11	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
m12	VEGFC	VEGFC_WT.2	BRDN0000464883	U2OS	Treated	7424	TAORF_REFERENCE_SET
m13	PRKAA1	PRKAA1_WT.2	ccsbBroad304_06770	U2OS	Treated	5562	TAORF_REFERENCE_SET
m14	CHUK	CHUK_WT.2	BRDN0000464884	U2OS	Treated	1147	TAORF_REFERENCE_SET
m15	PRKACB	PRKACB_WT.3	ccsbBroad304_06771	U2OS	Treated	5567	TAORF_REFERENCE_SET
m16	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
m17	RAC1	RAC1_WT.2	ccsbBroad304_06831	U2OS	Treated	5879	TAORF_REFERENCE_SET
m18	ACVR1B	ACVR1B_WT.2.mismatch	BRDN0000464885	U2OS	Treated	91	TAORF_REFERENCE_SET
m19	RAF1	RAF1_WT.2	ccsbBroad304_06837	U2OS	Treated	5894	TAORF_REFERENCE_SET
m20	TGFBR1	TGFBR1_WT.3	BRDN0000464886	U2OS	Treated	7046	TAORF_REFERENCE_SET
m21	RB1	RB1_WT.2	ccsbBroad304_06846	U2OS	Treated	5925	TAORF_REFERENCE_SET
m22	TCF4	TCF4_WT.1	BRDN0000464887	U2OS	Treated	6925	TAORF_REFERENCE_SET
m23	RHEB	RHEB_WT.2	ccsbBroad304_06864	U2OS	Treated	6009	TAORF_REFERENCE_SET
m24	DVL1	DVL1_WT.2	BRDN0000464888	U2OS	Treated	1855	TAORF_REFERENCE_SET
n01	CDK4	CDK4_R24C	BRDN0000464958	U2OS	Treated	1019	TAORF_REFERENCE_SET
n02	SMO	SMO_WT.1	BRDN0000464867	U2OS	Treated	6608	TAORF_REFERENCE_SET
n03	BMPR1B	BMPR1B_K231R	BRDN0000464959	U2OS	Treated	658	TAORF_REFERENCE_SET
n04	SMO	SMO_WT.2	BRDN0000464868	U2OS	Treated	6608	TAORF_REFERENCE_SET
n05	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
n06	GLI1	GLI1_WT	BRDN0000464869	U2OS	Treated	2735	TAORF_REFERENCE_SET
n07	RPS6KB1	RPS6KB1_T389E.mismatch	BRDN0000464960	U2OS	Treated	6198	TAORF_REFERENCE_SET
n08	DEPTOR	DEPTOR_WT.1	BRDN0000464870	U2OS	Treated	64798	TAORF_REFERENCE_SET
n09	PRKCZ	PRKCZ_del1-238	BRDN0000464961	U2OS	Treated	5590	TAORF_REFERENCE_SET
n10	DEPTOR	DEPTOR_WT.2	BRDN0000464871	U2OS	Treated	64798	TAORF_REFERENCE_SET
n11	PRKCA	PRKCA_del1-325	BRDN0000464962	U2OS	Treated	5578	TAORF_REFERENCE_SET
n12	PPARGC1A	PPARGC1A_WT.1	BRDN0000464872	U2OS	Treated	10891	TAORF_REFERENCE_SET
n13	PRKCE	PRKCE_del1-394	BRDN0000464963	U2OS	Treated	5581	TAORF_REFERENCE_SET
n14	PPARGC1A	PPARGC1A_WT.2	BRDN0000464873	U2OS	Treated	10891	TAORF_REFERENCE_SET
n15	PRKCZ	PRKCZ_K281R	BRDN0000464964	U2OS	Treated	5590	TAORF_REFERENCE_SET
n16	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
n17	STAT1	STAT1_Y701F	BRDN0000464965	U2OS	Treated	6772	TAORF_REFERENCE_SET
n18	CCNE1	CCNE1_WT.mismatch	ccsbBroad304_00238	U2OS	Treated	898	TAORF_REFERENCE_SET
n19	MYD88	MYD88_L265P	BRDN0000464966	U2OS	Treated	4615	TAORF_REFERENCE_SET
n20	MLST8	MLST8_WT	ccsbBroad304_03937	U2OS	Treated	64223	TAORF_REFERENCE_SET
n21	JAK2	JAK2_V617F.mismatch	BRDN0000464967	U2OS	Treated	3717	TAORF_REFERENCE_SET
n22	RPTOR	RPTOR_WT	ccsbBroad304_12357	U2OS	Treated	57521	TAORF_REFERENCE_SET
n23	STAT3	STAT3_Y705F	BRDN0000464968	U2OS	Treated	6774	TAORF_REFERENCE_SET
n24	MYD88	MYD88_WT	BRDN0000464874	U2OS	Treated	4615	TAORF_REFERENCE_SET
o01	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
o02	SMAD3	SMAD3_WT.2	BRDN0000464889	U2OS	Treated	4088	TAORF_REFERENCE_SET
o03	SDHA	SDHA_WT	ccsbBroad304_06926	U2OS	Treated	6389	TAORF_REFERENCE_SET
o04	RELA	RELA_WT.2	BRDN0000464890	U2OS	Treated	5970	TAORF_REFERENCE_SET
o05	SREBF1	SREBF1_WT	ccsbBroad304_06995	U2OS	Treated	6720	TAORF_REFERENCE_SET
o06	EIF2A	EIF2A_WT.2	BRDN0000464891	U2OS	Treated	83939	TAORF_REFERENCE_SET
o07	STK3	STK3_WT.2	ccsbBroad304_07012	U2OS	Treated	6788	TAORF_REFERENCE_SET
o08	APAF1	APAF1_WT	BRDN0000464892	U2OS	Treated	317	TAORF_REFERENCE_SET
o09	TCF4	TCF4_WT.2	ccsbBroad304_07036	U2OS	Treated	6925	TAORF_REFERENCE_SET
o10	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
o11	TGFB1	TGFB1_WT	ccsbBroad304_07056	U2OS	Treated	7040	TAORF_REFERENCE_SET
o12	MAP2K4	MAP2K4_WT.2	BRDN0000464893	U2OS	Treated	6416	TAORF_REFERENCE_SET
o13	TP53	TP53_WT.2	ccsbBroad304_07088	U2OS	Treated	7157	TAORF_REFERENCE_SET
o14	MAP2K1	MAP2K1_WT.2	BRDN0000464894	U2OS	Treated	5604	TAORF_REFERENCE_SET
o15	TRAF3	TRAF3_WT.2	ccsbBroad304_07098	U2OS	Treated	7187	TAORF_REFERENCE_SET
o16	REL	REL_WT.2	BRDN0000464895	U2OS	Treated	5966	TAORF_REFERENCE_SET
o17	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
o18	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
o19	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
o20	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
o21	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
o22	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
o23	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
o24	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
p01	STAT3	STAT3_C-C	BRDN0000464969	U2OS	Treated	6774	TAORF_REFERENCE_SET
p02	FOXO1	FOXO1_WT.1	BRDN0000464875	U2OS	Treated	2308	TAORF_REFERENCE_SET
p03	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
p04	FOXO1	FOXO1_WT.2	BRDN0000464876	U2OS	Treated	2308	TAORF_REFERENCE_SET
p05	AKT3	AKT3_E17K	BRDN0000464970	U2OS	Treated	10000	TAORF_REFERENCE_SET
p06	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
p07	BMPR1B	BMPR1B_Q203D	BRDN0000464971	U2OS	Treated	658	TAORF_REFERENCE_SET
p08	ACVR1B	ACVR1B_WT.3	ccsbBroad304_00018	U2OS	Treated	91	TAORF_REFERENCE_SET
p09	CDC42	CDC42_T17N	BRDN0000464972	U2OS	Treated	998	TAORF_REFERENCE_SET
p10	AKT1	AKT1_WT.2	ccsbBroad304_00046	U2OS	Treated	207	TAORF_REFERENCE_SET
p11	ATF6	ATF6_1-373	BRDN0000464973	U2OS	Treated	22926	TAORF_REFERENCE_SET
p12	AKT2	AKT2_WT	ccsbBroad304_00047	U2OS	Treated	208	TAORF_REFERENCE_SET
p13	XBP1	XBP1_S	BRDN0000464974	U2OS	Treated	7494	TAORF_REFERENCE_SET
p14	RHOA	RHOA_WT	ccsbBroad304_00100	U2OS	Treated	387	TAORF_REFERENCE_SET
p15	RHOA	RHOA_T19N	BRDN0000464975	U2OS	Treated	387	TAORF_REFERENCE_SET
p16	ARNTL	ARNTL_WT	ccsbBroad304_00105	U2OS	Treated	406	TAORF_REFERENCE_SET
p17	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
p18	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
p19	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
p20	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA	TAORF_REFERENCE_SET
p21	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
p22	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
p23	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
p24	EMPTY	EMPTY_	NA	U2OS	Untreated	NA	TAORF_REFERENCE_SET
